epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
108,28818.1,1.38691,0.84321,1.11598,0.8186,0.72912,0.81233,0.40747,1.73391,0.94091,1.3167,0.00697343,0.00697343,0.00697343
109,29024.7,1.37845,0.82753,1.10927,0.81301,0.73637,0.81733,0.40822,1.723,0.95233,1.31296,0.00694514,0.00694514,0.00694514
110,29249.4,1.37478,0.82659,1.10873,0.84215,0.71705,0.81846,0.40787,1.7369,0.94479,1.31972,0.00691686,0.00691686,0.00691686
111,29455.8,1.35797,0.81764,1.10087,0.83823,0.71697,0.81496,0.40704,1.73798,0.97276,1.31637,0.00688857,0.00688857,0.00688857
112,29681.7,1.3637,0.82508,1.10337,0.82335,0.74628,0.81979,0.41019,1.72852,0.94333,1.31425,0.00686029,0.00686029,0.00686029
113,29887.1,1.36668,0.82939,1.10168,0.83149,0.72153,0.81781,0.41202,1.72226,0.95122,1.31439,0.006832,0.006832,0.006832
114,30108.5,1.37174,0.82071,1.11143,0.81222,0.75121,0.81941,0.40756,1.72945,0.94662,1.32332,0.00680371,0.00680371,0.00680371
115,30315.6,1.36181,0.8124,1.10867,0.81303,0.74638,0.82082,0.41249,1.72984,0.94441,1.33089,0.00677543,0.00677543,0.00677543
116,30545,1.35825,0.81281,1.09767,0.8117,0.74465,0.81705,0.40938,1.72899,0.94274,1.31906,0.00674714,0.00674714,0.00674714
117,30751.7,1.36032,0.81196,1.10474,0.81039,0.7481,0.82368,0.41408,1.72537,0.93156,1.31349,0.00671886,0.00671886,0.00671886
118,30974.3,1.34963,0.80524,1.0963,0.81267,0.74155,0.82069,0.411,1.72745,0.96632,1.32808,0.00669057,0.00669057,0.00669057
119,31184.1,1.35558,0.80554,1.10228,0.81951,0.73953,0.81471,0.40571,1.73989,0.95404,1.34157,0.00666229,0.00666229,0.00666229
120,31409.6,1.35275,0.80348,1.10284,0.80615,0.73948,0.81202,0.40441,1.75323,0.95926,1.3426,0.006634,0.006634,0.006634
121,31616.6,1.34451,0.79434,1.09362,0.81076,0.74803,0.81296,0.41153,1.7403,0.95787,1.32303,0.00660571,0.00660571,0.00660571
122,31840.6,1.34785,0.81642,1.09814,0.80728,0.75086,0.81468,0.40809,1.74085,0.95006,1.33119,0.00657743,0.00657743,0.00657743
123,32046.2,1.3399,0.78499,1.09797,0.815,0.75097,0.81508,0.40912,1.73601,0.93067,1.33382,0.00654914,0.00654914,0.00654914
124,32271.6,1.34431,0.79943,1.09799,0.81963,0.73464,0.81484,0.40919,1.73128,0.94226,1.3129,0.00652086,0.00652086,0.00652086
125,32475.6,1.33062,0.79313,1.088,0.81095,0.745,0.8134,0.41351,1.73332,0.94168,1.32852,0.00649257,0.00649257,0.00649257
126,32691.4,1.32903,0.78454,1.09122,0.82979,0.73006,0.81815,0.41097,1.73271,0.93956,1.32402,0.00646429,0.00646429,0.00646429
127,32890.7,1.3361,0.79145,1.09345,0.82564,0.73499,0.81732,0.4104,1.74174,0.95923,1.32521,0.006436,0.006436,0.006436
128,33111.1,1.3264,0.78863,1.09478,0.81986,0.74443,0.82125,0.40689,1.75354,0.93454,1.33452,0.00640771,0.00640771,0.00640771
129,33313,1.32666,0.78301,1.08471,0.82199,0.74258,0.82175,0.41183,1.73457,0.92687,1.32806,0.00637943,0.00637943,0.00637943
130,33526.3,1.32158,0.79469,1.08661,0.83219,0.73292,0.81703,0.40669,1.73915,0.93235,1.33201,0.00635114,0.00635114,0.00635114
131,33727.7,1.32402,0.7841,1.08972,0.81671,0.73958,0.81814,0.41001,1.72494,0.92997,1.32641,0.00632286,0.00632286,0.00632286
132,33951,1.31161,0.77371,1.08278,0.82726,0.73536,0.82184,0.41065,1.74291,0.92335,1.33002,0.00629457,0.00629457,0.00629457
133,34168.5,1.29814,0.76927,1.07698,0.81879,0.74914,0.82063,0.4106,1.7408,0.92621,1.32524,0.00626629,0.00626629,0.00626629
134,34417.5,1.31261,0.77254,1.08621,0.83549,0.74465,0.82664,0.41336,1.73501,0.93336,1.32225,0.006238,0.006238,0.006238
135,34619.5,1.30084,0.76478,1.07749,0.83419,0.73982,0.82157,0.40962,1.73197,0.92894,1.32926,0.00620971,0.00620971,0.00620971
136,34835.1,1.30619,0.77731,1.08185,0.8196,0.73879,0.81873,0.41049,1.72484,0.93247,1.31456,0.00618143,0.00618143,0.00618143
137,35044.4,1.29937,0.75597,1.07788,0.82672,0.73464,0.81707,0.40895,1.73799,0.94185,1.32672,0.00615314,0.00615314,0.00615314
138,35263.4,1.299,0.7639,1.07721,0.80893,0.7412,0.81598,0.4112,1.72709,0.94636,1.33092,0.00612486,0.00612486,0.00612486
139,35472,1.29734,0.75866,1.06742,0.8269,0.74155,0.82076,0.41394,1.72244,0.93148,1.31527,0.00609657,0.00609657,0.00609657
140,35692.7,1.30111,0.76163,1.07489,0.82128,0.74686,0.81956,0.41308,1.72259,0.93313,1.32841,0.00606829,0.00606829,0.00606829
141,35911.7,1.29633,0.75972,1.07793,0.82698,0.74396,0.8194,0.4109,1.73043,0.92111,1.32906,0.00604,0.00604,0.00604
142,36131.6,1.28738,0.76049,1.07668,0.82422,0.7378,0.81852,0.40841,1.74015,0.91856,1.33909,0.00601171,0.00601171,0.00601171
143,36337.1,1.28052,0.74879,1.06502,0.82135,0.74638,0.81375,0.40959,1.74265,0.93161,1.32906,0.00598343,0.00598343,0.00598343
